카드사,상품명,전월실적,연회비(국내),연회비(국내외),모든가맹점,교통,주유,마트/편의점,쇼핑,푸드,배달,카페/디저트,뷰티/피트니스,생활요금,의료,애완동물,자동차/하이패스,레져/스포츠,영화/문화,간편결제,항공,프리미엄,여행/숙박,해외,디지털구독,멤버십,교육/육아,금융,기타
신한,신한카드 Mr.Life,30,,1.5,,1,1 ,1,1,1,,,,1,1,,,,,,,,,,,,,,
신한,신한카드 Deep Dream,0,,0.8,1,1,1,1,,,,1,,,,,,,,1,,,,,,,,,
신한,신한카드 Deep Oil,30,,1,,1,1,1,,,,1,,,,,1,,1,,,,,,,,,,
신한,신한카드 Deep Dream Platinum+,0,,3,,1,1,1,1,,,1,1,,,,,1,1,,,1,,,,,,,
신한,신한카드 Hi-Point,0,,8,1,,1,,1,,,,,1,,,,1,,,,,,,,,,1,
신한,알뜰교통카드,30,,1.2,,1,,1,,,,1,,,1,,1,,,,,,,,,,,,
신한,아시아나 신한카드 Air 1.5,50,4.3,4.5,,,,,,,,,,,,,,,,,1,1,,,,,,,
신한,신한카드 구독 좋아요,40,1.5,1.8,,,,1,,,1,,,1,,,,,,,,,,,1,,,,
신한,신한카드 The BEST-F,0,,20.2,,,,,1,,,1,,,,,,,,,1,1,1,,,,,,
신한,신한카드 RPM+ Platinum#,50,,3.2,1,1,1,1,1,,,,,,,,1,,,,,1,,,,,,,
신한,신한카드 Deep Dream(모베러웍스),0,,1,1,1,1,1,,,,1,,,,,,,1,,,,,,,,,,
신한,신한카드 The CLASSIC+,30,,12,,,1,,1,,,1,,,,,,,,,1,1,,,,,,,
신한,신한카드 B.Big(삑),30,,1,,1,,1,1,,,1,,1,,,,,1,,,,,,,,,,1
신한,신한카드 플리(산리오캐릭터즈),0,1.5,1.8,1,,,,,,,,,,,,,,,,,,,,,,,,
신한,신한카드 국민행복,30,,,,,,,1,,1,,,,1,,,,,,,,,,1,,1,1,
신한,신한카드 Deep On Platinum+,30,,3,,,,1,,,,1,1,,,,,,,1,,1,,,,,,,
신한,신한카드 Shopping,50,,2,,,1,,1,1,,1,1,,,,,,1,,,,,,,,,,1
신한,신한카드 Globus,0,2.2,2.5,,,,,,,,,,,,,,,,,,1,,1,,,,,
신한,메리어트 본보이™ 더 베스트 신한카드,0,26.4,26.7,,,,,,,,,,,,,,,,,1,,1,,,1,,,
신한,신한카드 후불하이패스+ (하이패스 전용),0,0.2,,,,,,,,,,,,,,1,,,,,,,,,,,,
신한,네이버페이 라인프렌즈 신한카드,0,0.7,1,,,,,,,,,,,,,,,,1,,,,,,,,,
신한,신한카드 The CLASSIC-Y,0,,10,1,1,1,,1,,,1,1,,,,,,1,,1,1,,,,,,,
신한,신한카드 Unboxing,40,3.2,3.5,,,,1,1,,,1,,,,,,,,,,,,,,,,,
신한,11번가 신한카드,0,0.5,0.8,,,,,1,,,,,,,,,,,,,,,,,,,,
신한,신한카드 Eats More(이츠모아),40,1.5,1.8,,,,,,,1,,,,,,,,,,,,,,,,,1,
신한,신한카드 Air Platinum#,0,,3.7,,,,,,,,,,,,,,,,,1,1,,,,,,,
신한,네이버페이 신한카드,0,2.7,3,,,,,,,,,,,,,,,,1,,,,,,,,,
신한,신한카드 Puzzle,0,1.5,1.8,1,1,,1,1,,1,1,1,,,1,,,,1,,,,,1,,,,
신한,티머니 Pay & GO 신한카드,30,1.5,1.8,,1,,1,1,,,1,,1,,,,,,,,,,,,,,,
신한,신한카드 래플(Raffle),50,1.7,2,,,,,,,,,,,,,,,,,,,,,,,,,
